mouse_genome_reads,AAV_genome_reads,vg_dg,modification,capsid,weeks,mouse,tissue,filter_type,ratio,ratio_n
67743448,1932,19.37,K27ac,9,2 weeks p.i.,2,liver,nuc_sized,2.851936323052231e-5,1.4723470950192208e-6
81571322,3386,8.93,K27ac,9,2 weeks p.i.,3,liver,all_reads,4.150968645573747e-5,4.6483411484588435e-6
30929830,1268,8.93,K27ac,9,2 weeks p.i.,3,liver,no_duplicates,4.0996022286575775e-5,4.590819964902103e-6
23387094,970,8.93,K27ac,9,2 weeks p.i.,3,liver,no_dup+nuc_sized,4.1475866988861466e-5,4.644553974116626e-6
61078998,2636,8.93,K27ac,9,2 weeks p.i.,3,liver,nuc_sized,4.3157224026497616e-5,4.832835837233776e-6
47949662,1824,24.08,K27ac,9,6 weeks p.i.,3,liver,all_reads,3.803989275252868e-5,1.5797297654704605e-6
13484032,542,24.08,K27ac,9,6 weeks p.i.,3,liver,no_duplicates,4.019569220838396e-5,1.6692563209461777e-6
9866510,388,24.08,K27ac,9,6 weeks p.i.,3,liver,no_dup+nuc_sized,3.932494874074014e-5,1.6330958779377136e-6
36445010,1358,24.08,K27ac,9,6 weeks p.i.,3,liver,nuc_sized,3.726161688527455e-5,1.547409339089475e-6
54290428,64,6.2,K27ac,2,6 weeks p.i.,1,liver,all_reads,1.1788450074477216e-6,1.9013629152382606e-7
34525238,32,6.2,K27ac,2,6 weeks p.i.,1,liver,no_duplicates,9.268582015278214e-7,1.4949325831093895e-7
27011078,26,6.2,K27ac,2,6 weeks p.i.,1,liver,no_dup+nuc_sized,9.625680248674267e-7,1.552529072366817e-7
42463730,48,6.2,K27ac,2,6 weeks p.i.,1,liver,nuc_sized,1.1303764412593994e-6,1.8231878084829024e-7
48419274,198,15.65,K27ac,2,6 weeks p.i.,2,liver,all_reads,4.0892806447283785e-6,2.612958878420689e-7
29191824,124,15.65,K27ac,2,6 weeks p.i.,2,liver,no_duplicates,4.247764716586397e-6,2.714226655965749e-7
22687462,100,15.65,K27ac,2,6 weeks p.i.,2,liver,no_dup+nuc_sized,4.4077208812515036e-6,2.8164350678923347e-7
37604878,156,15.65,K27ac,2,6 weeks p.i.,2,liver,nuc_sized,4.148397981772471e-6,2.6507335346788953e-7
61668794,1314,21.41,K27ac,9,6 weeks p.i.,1,liver,all_reads,2.1307373061324987e-5,9.952065885719285e-7
36585176,840,21.41,K27ac,9,6 weeks p.i.,1,liver,no_duplicates,2.2960119147711632e-5,1.0724016416493056e-6
26877646,664,21.41,K27ac,9,6 weeks p.i.,1,liver,no_dup+nuc_sized,2.4704544438155037e-5,1.1538787687134535e-6
45105840,1036,21.41,K27ac,9,6 weeks p.i.,1,liver,nuc_sized,2.2968201013438616e-5,1.072779122533331e-6
64241946,1220,26.04,K27ac,9,6 weeks p.i.,2,liver,all_reads,1.899070741101149e-5,7.292898391325458e-7
39608780,820,26.04,K27ac,9,6 weeks p.i.,2,liver,no_duplicates,2.070248061162197e-5,7.950261371590618e-7
30933522,634,26.04,K27ac,9,6 weeks p.i.,2,liver,no_dup+nuc_sized,2.049556464989664e-5,7.870800556795945e-7
50384742,974,26.04,K27ac,9,6 weeks p.i.,2,liver,nuc_sized,1.9331249130937297e-5,7.423674781465936e-7
